# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second tau
XLabel=$\eta(\tau\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\tau\mathrm{2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356_noPrimodialKT/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2
LegendOnly=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356_noPrimodialKT/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2
RatioPlot=1
RatioPlotReference=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2
ScaledBy=1.00001639083033487e-06
Title=MG2918_13TeV
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	3.096662e+01	1.386257e+00	1.386257e+00
-4.800000e+00	-4.600000e+00	3.996483e+01	1.574836e+00	1.574836e+00
-4.600000e+00	-4.400000e+00	5.373950e+01	1.826144e+00	1.826144e+00
-4.400000e+00	-4.200000e+00	6.131490e+01	1.950689e+00	1.950689e+00
-4.200000e+00	-4.000000e+00	7.347940e+01	2.135453e+00	2.135453e+00
-4.000000e+00	-3.800000e+00	8.278665e+01	2.266641e+00	2.266641e+00
-3.800000e+00	-3.600000e+00	1.077362e+02	2.585753e+00	2.585753e+00
-3.600000e+00	-3.400000e+00	1.165463e+02	2.689374e+00	2.689374e+00
-3.400000e+00	-3.200000e+00	1.324962e+02	2.867509e+00	2.867509e+00
-3.200000e+00	-3.000000e+00	1.502398e+02	3.053430e+00	3.053430e+00
-3.000000e+00	-2.800000e+00	1.607253e+02	3.158164e+00	3.158164e+00
-2.800000e+00	-2.600000e+00	1.715299e+02	3.262653e+00	3.262653e+00
-2.600000e+00	-2.400000e+00	1.928791e+02	3.459753e+00	3.459753e+00
-2.400000e+00	-2.200000e+00	2.029944e+02	3.549310e+00	3.549310e+00
-2.200000e+00	-2.000000e+00	2.116832e+02	3.624482e+00	3.624482e+00
-2.000000e+00	-1.800000e+00	2.192458e+02	3.688583e+00	3.688583e+00
-1.800000e+00	-1.600000e+00	2.283129e+02	3.764140e+00	3.764140e+00
-1.600000e+00	-1.400000e+00	2.328523e+02	3.801451e+00	3.801451e+00
-1.400000e+00	-1.200000e+00	2.394872e+02	3.855184e+00	3.855184e+00
-1.200000e+00	-1.000000e+00	2.461995e+02	3.908915e+00	3.908915e+00
-1.000000e+00	-8.000000e-01	2.483590e+02	3.925921e+00	3.925921e+00
-8.000000e-01	-6.000000e-01	2.565528e+02	3.990174e+00	3.990174e+00
-6.000000e-01	-4.000000e-01	2.623823e+02	4.035221e+00	4.035221e+00
-4.000000e-01	-2.000000e-01	2.548716e+02	3.977035e+00	3.977035e+00
-2.000000e-01	0.000000e+00	2.588519e+02	4.008035e+00	4.008035e+00
0.000000e+00	2.000000e-01	2.620784e+02	4.032933e+00	4.032933e+00
2.000000e-01	4.000000e-01	2.568058e+02	3.992177e+00	3.992177e+00
4.000000e-01	6.000000e-01	2.630152e+02	4.040178e+00	4.040178e+00
