# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading tau
XLabel=$p_\perp(\tau\mathrm{1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\tau\mathrm{1})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356_noPrimodialKT/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
LegendOnly=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356_noPrimodialKT/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
RatioPlot=1
RatioPlotReference=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
ScaledBy=1.00001639083033487e-06
Title=MG2918_13TeV
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.084224e+00	1.120004e+01	1.284734e+00	1.284734e+00
1.084224e+00	1.175541e+00	9.648311e+00	1.145045e+00	1.145045e+00
1.175541e+00	1.274549e+00	1.065635e+01	1.155844e+00	1.155844e+00
1.274549e+00	1.381896e+00	1.052011e+01	1.102807e+00	1.102807e+00
1.381896e+00	1.498284e+00	1.130369e+01	1.097913e+00	1.097913e+00
1.498284e+00	1.624475e+00	1.052356e+01	1.017352e+00	1.017352e+00
1.624475e+00	1.761294e+00	9.707701e+00	9.384795e-01	9.384795e-01
1.761294e+00	1.909636e+00	1.104557e+01	9.613938e-01	9.613938e-01
1.909636e+00	2.070473e+00	9.260637e+00	8.453775e-01	8.453775e-01
2.070473e+00	2.244855e+00	9.183287e+00	8.085439e-01	8.085439e-01
2.244855e+00	2.433925e+00	8.598715e+00	7.512736e-01	7.512736e-01
2.433925e+00	2.638919e+00	7.567417e+00	6.768508e-01	6.768508e-01
2.638919e+00	2.861178e+00	6.645738e+00	6.092140e-01	6.092140e-01
2.861178e+00	3.102156e+00	8.086207e+00	6.453501e-01	6.453501e-01
3.102156e+00	3.363431e+00	6.840823e+00	5.700690e-01	5.700690e-01
3.363431e+00	3.646711e+00	5.213637e+00	4.779336e-01	4.779336e-01
3.646711e+00	3.953850e+00	5.818984e+00	4.849157e-01	4.849157e-01
3.953850e+00	4.286857e+00	5.330281e+00	4.457409e-01	4.457409e-01
4.286857e+00	4.647911e+00	4.056390e+00	3.734212e-01	3.734212e-01
4.647911e+00	5.039375e+00	4.534210e+00	3.791700e-01	3.791700e-01
5.039375e+00	5.463809e+00	4.326993e+00	3.556768e-01	3.556768e-01
5.463809e+00	5.923990e+00	4.638940e+00	3.537160e-01	3.537160e-01
5.923990e+00	6.422930e+00	4.950730e+00	3.509481e-01	3.509481e-01
6.422930e+00	6.963892e+00	4.015179e+00	3.035191e-01	3.035191e-01
6.963892e+00	7.550415e+00	5.374759e+00	3.372427e-01	3.372427e-01
7.550415e+00	8.186338e+00	5.093601e+00	3.152862e-01	3.152862e-01
8.186338e+00	8.875820e+00	6.139083e+00	3.324501e-01	3.324501e-01
8.875820e+00	9.623373e+00	6.658084e+00	3.324891e-01	3.324891e-01
9.623373e+00	1.043389e+01	7.641471e+00	3.420795e-01	3.420795e-01
1.043389e+01	1.131267e+01	8.728376e+00	3.511070e-01	3.511070e-01
1.131267e+01	1.226546e+01	9.314871e+00	3.483566e-01	3.483566e-01
1.226546e+01	1.329850e+01	1.048838e+01	3.549782e-01	3.549782e-01
1.329850e+01	1.441855e+01	1.156945e+01	3.580657e-01	3.580657e-01
1.441855e+01	1.563293e+01	1.369565e+01	3.741369e-01	3.741369e-01
1.563293e+01	1.694959e+01	1.482826e+01	3.738747e-01	3.738747e-01
1.694959e+01	1.837714e+01	1.645893e+01	3.782915e-01	3.782915e-01
1.837714e+01	1.992493e+01	1.852442e+01	3.854241e-01	3.854241e-01
1.992493e+01	2.160308e+01	2.091642e+01	3.933217e-01	3.933217e-01
2.160308e+01	2.342257e+01	2.360204e+01	4.012470e-01	4.012470e-01
2.342257e+01	2.539530e+01	2.576389e+01	4.026101e-01	4.026101e-01
2.539530e+01	2.753418e+01	2.913596e+01	4.111825e-01	4.111825e-01
2.753418e+01	2.985321e+01	3.157810e+01	4.111120e-01	4.111120e-01
2.985321e+01	3.236755e+01	3.414015e+01	4.105237e-01	4.105237e-01
3.236755e+01	3.509366e+01	3.648762e+01	4.075878e-01	4.075878e-01
3.509366e+01	3.804937e+01	4.201742e+01	4.200486e-01	4.200486e-01
3.804937e+01	4.125403e+01	4.735938e+01	4.282807e-01	4.282807e-01
4.125403e+01	4.472859e+01	5.974359e+01	4.619645e-01	4.619645e-01
4.472859e+01	4.849579e+01	6.829656e+01	4.743621e-01	4.743621e-01
4.849579e+01	5.258027e+01	3.377921e+01	3.203875e-01	3.203875e-01
5.258027e+01	5.700877e+01	1.738216e+01	2.207182e-01	2.207182e-01
5.700877e+01	6.181025e+01	9.995930e+00	1.607446e-01	1.607446e-01
6.181025e+01	6.701613e+01	6.277571e+00	1.223394e-01	1.223394e-01
6.701613e+01	7.266047e+01	4.149245e+00	9.551762e-02	9.551762e-02
7.266047e+01	7.878019e+01	2.606304e+00	7.270658e-02	7.270658e-02
7.878019e+01	8.541534e+01	1.702263e+00	5.642948e-02	5.642948e-02
8.541534e+01	9.260932e+01	1.186974e+00	4.525299e-02	4.525299e-02
9.260932e+01	1.004092e+02	8.052487e-01	3.579769e-02	3.579769e-02
1.004092e+02	1.088660e+02	5.313157e-01	2.792535e-02	2.792535e-02
1.088660e+02	1.180351e+02	3.925559e-01	2.305169e-02	2.305169e-02
1.180351e+02	1.279764e+02	2.559609e-01	1.787709e-02	1.787709e-02
1.279764e+02	1.387551e+02	1.738837e-01	1.415046e-02	1.415046e-02
1.387551e+02	1.504415e+02	1.242637e-01	1.148819e-02	1.148819e-02
1.504415e+02	1.631122e+02	8.619666e-02	9.188603e-03	9.188603e-03
1.631122e+02	1.768501e+02	5.510227e-02	7.055128e-03	7.055128e-03
1.768501e+02	1.917451e+02	4.000075e-02	5.773616e-03	5.773616e-03
1.917451e+02	2.078945e+02	3.382105e-02	5.098717e-03	5.098717e-03
2.078945e+02	2.254041e+02	1.842704e-02	3.613843e-03	3.613843e-03
2.254041e+02	2.443885e+02	1.699856e-02	3.333694e-03	3.333694e-03
2.443885e+02	2.649717e+02	4.824314e-03	1.705653e-03	1.705653e-03
2.649717e+02	2.872886e+02	6.673221e-03	1.926394e-03	1.926394e-03
2.872886e+02	3.114850e+02	2.563969e-03	1.146642e-03	1.146642e-03
3.114850e+02	3.377194e+02	1.892870e-03	9.464352e-04	9.464352e-04
3.377194e+02	3.661633e+02	3.051590e-03	1.153393e-03	1.153393e-03
3.661633e+02	3.970029e+02	1.610696e-03	8.053481e-04	8.053481e-04
3.970029e+02	4.304399e+02	7.420794e-04	5.247294e-04	5.247294e-04
4.304399e+02	4.666931e+02	6.847233e-04	4.841728e-04	4.841728e-04
4.666931e+02	5.059996e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.059996e+02	5.486167e+02	5.825856e-04	4.119507e-04	4.119507e-04
5.486167e+02	5.948231e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.948231e+02	6.449213e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.449213e+02	6.992388e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.992388e+02	7.581312e+02	0.000000e+00	0.000000e+00	0.000000e+00
