# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second jet
XLabel=$\eta(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356_noPrimodialKT/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2
LegendOnly=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356_noPrimodialKT/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2
RatioPlot=1
RatioPlotReference=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2
ScaledBy=1.00001639083033487e-06
Title=MG2918_13TeV
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	6.207180e-01	1.962884e-01	1.962884e-01
-4.800000e+00	-4.600000e+00	6.206085e-01	1.962539e-01	1.962539e-01
-4.600000e+00	-4.400000e+00	1.117131e+00	2.633103e-01	2.633103e-01
-4.400000e+00	-4.200000e+00	1.551835e+00	3.103672e-01	3.103672e-01
-4.200000e+00	-4.000000e+00	1.240904e+00	2.774747e-01	2.774747e-01
-4.000000e+00	-3.800000e+00	2.295762e+00	3.774214e-01	3.774214e-01
-3.800000e+00	-3.600000e+00	2.917003e+00	4.254889e-01	4.254889e-01
-3.600000e+00	-3.400000e+00	2.358735e+00	3.826377e-01	3.826377e-01
-3.400000e+00	-3.200000e+00	4.220091e+00	5.117614e-01	5.117614e-01
-3.200000e+00	-3.000000e+00	4.592118e+00	5.338232e-01	5.338232e-01
-3.000000e+00	-2.800000e+00	5.275450e+00	5.722032e-01	5.722032e-01
-2.800000e+00	-2.600000e+00	5.959145e+00	6.082033e-01	6.082033e-01
-2.600000e+00	-2.400000e+00	6.950995e+00	6.568076e-01	6.568076e-01
-2.400000e+00	-2.200000e+00	6.827635e+00	6.509896e-01	6.509896e-01
-2.200000e+00	-2.000000e+00	8.812850e+00	7.395585e-01	7.395585e-01
-2.000000e+00	-1.800000e+00	8.998500e+00	7.472853e-01	7.472853e-01
-1.800000e+00	-1.600000e+00	1.054866e+01	8.090459e-01	8.090459e-01
-1.600000e+00	-1.400000e+00	9.122505e+00	7.524118e-01	7.524118e-01
-1.400000e+00	-1.200000e+00	1.036387e+01	8.019807e-01	8.019807e-01
-1.200000e+00	-1.000000e+00	1.110848e+01	8.302868e-01	8.302868e-01
-1.000000e+00	-8.000000e-01	1.402400e+01	9.328633e-01	9.328633e-01
-8.000000e-01	-6.000000e-01	1.216345e+01	8.688189e-01	8.688189e-01
-6.000000e-01	-4.000000e-01	1.247450e+01	8.798838e-01	8.798838e-01
-4.000000e-01	-2.000000e-01	1.421237e+01	9.391801e-01	9.391801e-01
-2.000000e-01	0.000000e+00	1.427380e+01	9.411874e-01	9.411874e-01
0.000000e+00	2.000000e-01	1.365352e+01	9.205210e-01	9.205210e-01
2.000000e-01	4.000000e-01	1.291014e+01	8.951579e-01	8.951579e-01
4.000000e-01	6.000000e-01	1.414951e+01	9.370743e-01	9.370743e-01
6.000000e-01	8.000000e-01	1.092374e+01	8.234086e-01	8.234086e-01
8.000000e-01	1.000000e+00	1.160430e+01	8.485906e-01	8.485906e-01
