# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity $+/-$ ratio of second jet
XLabel=$\eta(\mathrm{jet~2})_+/\eta(\mathrm{jet~2})_-$
YLabel=$|\eta(\mathrm{jet~2}|$
RemoveOptions=1
DrawOnly=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356_noPrimodialKT/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2
LegendOnly=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356_noPrimodialKT/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13p6TeV_MG356/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2
RatioPlot=1
RatioPlotReference=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.09020618021472003, dn: 0.09020618021472003}}, 1: {"": {up: 0.087007428675924564, dn: 0.087007428675924564}}, 2: {"": {up: 0.10974418442381975, dn: 0.10974418442381975}}, 3: {"": {up: 0.093261371119747166, dn: 0.093261371119747166}}, 4: {"": {up: 0.081798832910217445, dn: 0.081798832910217445}}, 5: {"": {up: 0.10570569589570651, dn: 0.10570569589570651}}, 6: {"": {up: 0.1230840217153137, dn: 0.1230840217153137}}, 7: {"": {up: 0.12909149579848928, dn: 0.12909149579848928}}, 8: {"": {up: 0.099336738262375851, dn: 0.099336738262375851}}, 9: {"": {up: 0.11986822560031955, dn: 0.11986822560031955}}, 10: {"": {up: 0.11237120570125964, dn: 0.11237120570125964}}, 11: {"": {up: 0.14581134524965497, dn: 0.14581134524965497}}, 12: {"": {up: 0.13273517956364544, dn: 0.13273517956364544}}, 13: {"": {up: 0.14882774006101021, dn: 0.14882774006101021}}, 14: {"": {up: 0.1465998770668277, dn: 0.1465998770668277}}, 15: {"": {up: 0.18260940791644031, dn: 0.18260940791644031}}, 16: {"": {up: 0.1350304123169036, dn: 0.1350304123169036}}, 17: {"": {up: 0.34484606187962574, dn: 0.34484606187962574}}, 18: {"": {up: 0.16961697305082982, dn: 0.16961697305082982}}, 19: {"": {up: 0.22308140883576166, dn: 0.22308140883576166}}, 20: {"": {up: 0.39831616563280858, dn: 0.39831616563280858}}, 21: {"": {up: 0.14960204817792147, dn: 0.14960204817792147}}, 22: {"": {up: 0.15708924086831569, dn: 0.15708924086831569}}, 23: {"": {up: 0.23667384777792269, dn: 0.23667384777792269}}, 24: {"": {up: 0.44711049692492294, dn: 0.44711049692492294}}}
LineColor=red
LineStyle=solid
Path=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2
Title=MG2918_13TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.565442e-01	9.020618e-02	9.020618e-02
2.000000e-01	4.000000e-01	9.083741e-01	8.700743e-02	8.700743e-02
4.000000e-01	6.000000e-01	1.134274e+00	1.097442e-01	1.097442e-01
6.000000e-01	8.000000e-01	8.980788e-01	9.326137e-02	9.326137e-02
8.000000e-01	1.000000e+00	8.274596e-01	8.179883e-02	8.179883e-02
1.000000e+00	1.200000e+00	1.000022e+00	1.057057e-01	1.057057e-01
1.200000e+00	1.400000e+00	1.167408e+00	1.230840e-01	1.230840e-01
1.400000e+00	1.600000e+00	1.143024e+00	1.290915e-01	1.290915e-01
1.600000e+00	1.800000e+00	8.883213e-01	9.933674e-02	9.933674e-02
1.800000e+00	2.000000e+00	1.027560e+00	1.198682e-01	1.198682e-01
2.000000e+00	2.200000e+00	9.294170e-01	1.123712e-01	1.123712e-01
2.200000e+00	2.400000e+00	1.108979e+00	1.458113e-01	1.458113e-01
2.400000e+00	2.600000e+00	9.910688e-01	1.327352e-01	1.327352e-01
2.600000e+00	2.800000e+00	1.041577e+00	1.488277e-01	1.488277e-01
2.800000e+00	3.000000e+00	9.411219e-01	1.465999e-01	1.465999e-01
3.000000e+00	3.200000e+00	1.148549e+00	1.826094e-01	1.826094e-01
3.200000e+00	3.400000e+00	7.205944e-01	1.350304e-01	1.350304e-01
3.400000e+00	3.600000e+00	1.683863e+00	3.448461e-01	3.448461e-01
3.600000e+00	3.800000e+00	7.658260e-01	1.696170e-01	1.696170e-01
3.800000e+00	4.000000e+00	9.460883e-01	2.230814e-01	2.230814e-01
4.000000e+00	4.200000e+00	1.350130e+00	3.983162e-01	3.983162e-01
4.200000e+00	4.400000e+00	3.998281e-01	1.496020e-01	1.496020e-01
4.400000e+00	4.600000e+00	3.332365e-01	1.570892e-01	1.570892e-01
4.600000e+00	4.800000e+00	4.000517e-01	2.366738e-01	2.366738e-01
4.800000e+00	5.000000e+00	9.997688e-01	4.471105e-01	4.471105e-01
# END HISTO1D


# BEGIN HISTO1D //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.075509428626754721, dn: 0.075509428626754721}}, 1: {"": {up: 0.09850111142203391, dn: 0.09850111142203391}}, 2: {"": {up: 0.10583563801093399, dn: 0.10583563801093399}}, 3: {"": {up: 0.11350187061214989, dn: 0.11350187061214989}}, 4: {"": {up: 0.11053301172823611, dn: 0.11053301172823611}}, 5: {"": {up: 0.092999435382438392, dn: 0.092999435382438392}}, 6: {"": {up: 0.12509259851695131, dn: 0.12509259851695131}}, 7: {"": {up: 0.11277800240717539, dn: 0.11277800240717539}}, 8: {"": {up: 0.11257324115810181, dn: 0.11257324115810181}}, 9: {"": {up: 0.11221267575158804, dn: 0.11221267575158804}}, 10: {"": {up: 0.10797245494124799, dn: 0.10797245494124799}}, 11: {"": {up: 0.15497279398257072, dn: 0.15497279398257072}}, 12: {"": {up: 0.12928889967975316, dn: 0.12928889967975316}}, 13: {"": {up: 0.13717986192125903, dn: 0.13717986192125903}}, 14: {"": {up: 0.19361178873053161, dn: 0.19361178873053161}}, 15: {"": {up: 0.17849575646305552, dn: 0.17849575646305552}}, 16: {"": {up: 0.17124136353809946, dn: 0.17124136353809946}}, 17: {"": {up: 0.24556128354040027, dn: 0.24556128354040027}}, 18: {"": {up: 0.20878769958041066, dn: 0.20878769958041066}}, 19: {"": {up: 0.29967907194631771, dn: 0.29967907194631771}}, 20: {"": {up: 0.29783539584188723, dn: 0.29783539584188723}}, 21: {"": {up: 0.34995849716704763, dn: 0.34995849716704763}}, 22: {"": {up: 0.54648584784958065, dn: 0.54648584784958065}}, 23: {"": {up: 0.47705656600859714, dn: 0.47705656600859714}}, 24: {"": {up: 0.81523471905367018, dn: 0.81523471905367018}}}
LineColor=blue
LineStyle=solid
