# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of fourth jet
XLabel=$p_\perp(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~4})$ [pb/GeV]
LogX=1
XMin=20.0
DrawOnly=//eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_UPSTREAM/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4 //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CPP512Z/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4 //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CUDA/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4
LegendOnly=//eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_UPSTREAM/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4 //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CPP512Z/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4 //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CUDA/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4
RatioPlot=1
RatioPlotReference=//eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_UPSTREAM/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_UPSTREAM/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_UPSTREAM/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4
ScaledBy=1.00001996714958461e-06
Title=MG362
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.217143e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.217143e+01	1.481437e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.481437e+01	1.803120e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.803120e+01	2.194655e+01	1.522140e+01	2.260798e-01	2.260798e-01
2.194655e+01	2.671208e+01	1.970914e+01	2.331830e-01	2.331830e-01
2.671208e+01	3.251242e+01	1.012514e+01	1.514932e-01	1.514932e-01
3.251242e+01	3.957226e+01	5.286953e+00	9.922537e-02	9.922537e-02
3.957226e+01	4.816510e+01	2.217002e+00	5.824141e-02	5.824141e-02
4.816510e+01	5.862381e+01	7.894483e-01	3.150243e-02	3.150243e-02
5.862381e+01	7.135355e+01	2.881557e-01	1.725144e-02	1.725144e-02
7.135355e+01	8.684746e+01	1.315275e-01	1.056454e-02	1.056454e-02
8.684746e+01	1.057058e+02	5.507754e-02	6.196707e-03	6.196707e-03
1.057058e+02	1.286590e+02	1.432099e-02	2.864199e-03	2.864199e-03
1.286590e+02	1.565964e+02	4.235519e-03	1.411839e-03	1.411839e-03
1.565964e+02	1.906002e+02	7.737291e-04	5.471090e-04	5.471090e-04
1.906002e+02	2.319877e+02	9.532248e-04	5.503446e-04	5.503446e-04
2.319877e+02	2.823621e+02	2.609750e-04	2.609751e-04	2.609751e-04
2.823621e+02	3.436751e+02	2.144123e-04	2.144123e-04	2.144123e-04
3.436751e+02	4.183016e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.183016e+02	5.091329e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.091329e+02	6.196874e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.196874e+02	7.542481e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.542481e+02	9.180277e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.180277e+02	1.117371e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.117371e+03	1.360000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CPP512Z/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CPP512Z/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4
ScaledBy=1.00000054421021920e-06
Title=CPP-AVX512
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.217143e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.217143e+01	1.481437e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.481437e+01	1.803120e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.803120e+01	2.194655e+01	1.541368e+01	2.275345e-01	2.275345e-01
2.194655e+01	2.671208e+01	1.978092e+01	2.336401e-01	2.336401e-01
2.671208e+01	3.251242e+01	1.030932e+01	1.528860e-01	1.528860e-01
3.251242e+01	3.957226e+01	5.115214e+00	9.761432e-02	9.761432e-02
3.957226e+01	4.816510e+01	2.320165e+00	5.958946e-02	5.958946e-02
4.816510e+01	5.862381e+01	8.575615e-01	3.283772e-02	3.283772e-02
5.862381e+01	7.135355e+01	2.964981e-01	1.750173e-02	1.750173e-02
7.135355e+01	8.684746e+01	1.162843e-01	9.934843e-03	9.934843e-03
8.684746e+01	1.057058e+02	4.672339e-02	5.708169e-03	5.708169e-03
1.057058e+02	1.286590e+02	1.604256e-02	3.031760e-03	3.031760e-03
1.286590e+02	1.565964e+02	4.236754e-03	1.412251e-03	1.412251e-03
1.565964e+02	1.906002e+02	1.546910e-03	7.734552e-04	7.734552e-04
1.906002e+02	2.319877e+02	3.177918e-04	3.177918e-04	3.177918e-04
2.319877e+02	2.823621e+02	2.610971e-04	2.610971e-04	2.610971e-04
2.823621e+02	3.436751e+02	2.144637e-04	2.144636e-04	2.144636e-04
3.436751e+02	4.183016e+02	1.762030e-04	1.762029e-04	1.762029e-04
4.183016e+02	5.091329e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.091329e+02	6.196874e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.196874e+02	7.542481e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.542481e+02	9.180277e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.180277e+02	1.117371e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.117371e+03	1.360000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CUDA/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CUDA/merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_4
ScaledBy=1.00004549403784461e-06
Title=CUDA
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.217143e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.217143e+01	1.481437e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.481437e+01	1.803120e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.803120e+01	2.194655e+01	1.509603e+01	2.255653e-01	2.255653e-01
2.194655e+01	2.671208e+01	2.012317e+01	2.360581e-01	2.360581e-01
2.671208e+01	3.251242e+01	1.044722e+01	1.541700e-01	1.541700e-01
3.251242e+01	3.957226e+01	5.306678e+00	9.959559e-02	9.959559e-02
3.957226e+01	4.816510e+01	2.297457e+00	5.939935e-02	5.939935e-02
4.816510e+01	5.862381e+01	9.109855e-01	3.390337e-02	3.390337e-02
5.862381e+01	7.135355e+01	3.223985e-01	1.828154e-02	1.828154e-02
7.135355e+01	8.684746e+01	1.269046e-01	1.039643e-02	1.039643e-02
8.684746e+01	1.057058e+02	4.548437e-02	5.641642e-03	5.641642e-03
1.057058e+02	1.286590e+02	1.379810e-02	2.816526e-03	2.816526e-03
1.286590e+02	1.565964e+02	4.723525e-03	1.493710e-03	1.493710e-03
1.565964e+02	1.906002e+02	7.761485e-04	5.488200e-04	5.488200e-04
1.906002e+02	2.319877e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.319877e+02	2.823621e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.823621e+02	3.436751e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.436751e+02	4.183016e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.183016e+02	5.091329e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.091329e+02	6.196874e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.196874e+02	7.542481e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.542481e+02	9.180277e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.180277e+02	1.117371e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.117371e+03	1.360000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

