# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second jet
XLabel=$\eta(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
DrawOnly=//eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_UPSTREAM/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2 //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CPP512Z/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2 //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CUDA/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
LegendOnly=//eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_UPSTREAM/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2 //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CPP512Z/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2 //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CUDA/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
RatioPlot=1
RatioPlotReference=//eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_UPSTREAM/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_UPSTREAM/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_UPSTREAM/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
ScaledBy=1.00001996714958461e-06
Title=MG362
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.971719e-01	1.138373e-01	1.138373e-01
-4.800000e+00	-4.600000e+00	7.231535e-01	2.180390e-01	2.180390e-01
-4.600000e+00	-4.400000e+00	9.861015e-01	2.546104e-01	2.546104e-01
-4.400000e+00	-4.200000e+00	9.862705e-01	2.546540e-01	2.546540e-01
-4.200000e+00	-4.000000e+00	1.248988e+00	2.865375e-01	2.865375e-01
-4.000000e+00	-3.800000e+00	2.432259e+00	3.998610e-01	3.998610e-01
-3.800000e+00	-3.600000e+00	3.089721e+00	4.506821e-01	4.506821e-01
-3.600000e+00	-3.400000e+00	4.075712e+00	5.176159e-01	5.176159e-01
-3.400000e+00	-3.200000e+00	3.352516e+00	4.694461e-01	4.694461e-01
-3.200000e+00	-3.000000e+00	5.061340e+00	5.767935e-01	5.767935e-01
-3.000000e+00	-2.800000e+00	5.850035e+00	6.201026e-01	6.201026e-01
-2.800000e+00	-2.600000e+00	6.902455e+00	6.736108e-01	6.736108e-01
-2.600000e+00	-2.400000e+00	6.968245e+00	6.768159e-01	6.768159e-01
-2.400000e+00	-2.200000e+00	6.967885e+00	6.767808e-01	6.767808e-01
-2.200000e+00	-2.000000e+00	9.400370e+00	7.860984e-01	7.860984e-01
-2.000000e+00	-1.800000e+00	1.183264e+01	8.819528e-01	8.819528e-01
-1.800000e+00	-1.600000e+00	1.156994e+01	8.721168e-01	8.721168e-01
-1.600000e+00	-1.400000e+00	1.189874e+01	8.844264e-01	8.844264e-01
-1.400000e+00	-1.200000e+00	1.156964e+01	8.720946e-01	8.720946e-01
-1.200000e+00	-1.000000e+00	1.216154e+01	8.941339e-01	8.941339e-01
-1.000000e+00	-8.000000e-01	1.255548e+01	9.084824e-01	9.084824e-01
-8.000000e-01	-6.000000e-01	1.373942e+01	9.503758e-01	9.503758e-01
-6.000000e-01	-4.000000e-01	1.413378e+01	9.639160e-01	9.639160e-01
-4.000000e-01	-2.000000e-01	1.452767e+01	9.772372e-01	9.772372e-01
-2.000000e-01	0.000000e+00	1.433075e+01	9.706005e-01	9.706005e-01
0.000000e+00	2.000000e-01	1.419887e+01	9.661111e-01	9.661111e-01
2.000000e-01	4.000000e-01	1.327867e+01	9.342845e-01	9.342845e-01
4.000000e-01	6.000000e-01	1.308158e+01	9.273284e-01	9.273284e-01
6.000000e-01	8.000000e-01	1.189860e+01	8.844162e-01	8.844162e-01
8.000000e-01	1.000000e+00	1.268671e+01	9.132092e-01	9.132092e-01
1.000000e+00	1.200000e+00	1.275320e+01	9.156262e-01	9.156262e-01
1.200000e+00	1.400000e+00	1.097806e+01	8.495078e-01	8.495078e-01
1.400000e+00	1.600000e+00	1.110969e+01	8.545920e-01	8.545920e-01
1.600000e+00	1.800000e+00	1.084644e+01	8.443939e-01	8.443939e-01
1.800000e+00	2.000000e+00	1.157011e+01	8.721299e-01	8.721299e-01
2.000000e+00	2.200000e+00	9.860580e+00	8.051132e-01	8.051132e-01
2.200000e+00	2.400000e+00	7.362180e+00	6.956605e-01	6.956605e-01
2.400000e+00	2.600000e+00	7.822705e+00	7.171063e-01	7.171063e-01
2.600000e+00	2.800000e+00	6.179295e+00	6.373457e-01	6.373457e-01
2.800000e+00	3.000000e+00	5.127750e+00	5.806033e-01	5.806033e-01
3.000000e+00	3.200000e+00	4.535519e+00	5.460124e-01	5.460124e-01
3.200000e+00	3.400000e+00	4.733201e+00	5.578131e-01	5.578131e-01
3.400000e+00	3.600000e+00	3.089527e+00	4.506539e-01	4.506539e-01
3.600000e+00	3.800000e+00	3.747144e+00	4.963213e-01	4.963213e-01
3.800000e+00	4.000000e+00	3.221204e+00	4.601721e-01	4.601721e-01
4.000000e+00	4.200000e+00	1.643415e+00	3.286830e-01	3.286830e-01
4.200000e+00	4.400000e+00	9.859465e-01	2.545704e-01	2.545704e-01
4.400000e+00	4.600000e+00	7.887965e-01	2.277060e-01	2.277060e-01
4.600000e+00	4.800000e+00	9.203685e-01	2.459788e-01	2.459788e-01
4.800000e+00	5.000000e+00	5.258315e-01	1.859095e-01	1.859095e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CPP512Z/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CPP512Z/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
ScaledBy=1.00000054421021920e-06
Title=CPP-AVX512
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	8.547755e-01	2.370720e-01	2.370720e-01
-4.800000e+00	-4.600000e+00	4.602932e-01	1.739745e-01	1.739745e-01
-4.600000e+00	-4.400000e+00	9.205865e-01	2.460371e-01	2.460371e-01
-4.400000e+00	-4.200000e+00	1.249305e+00	2.866104e-01	2.866104e-01
-4.200000e+00	-4.000000e+00	1.380896e+00	3.013362e-01	3.013362e-01
-4.000000e+00	-3.800000e+00	1.972683e+00	3.601610e-01	3.601610e-01
-3.800000e+00	-3.600000e+00	2.564487e+00	4.106465e-01	4.106465e-01
-3.600000e+00	-3.400000e+00	3.090494e+00	4.507950e-01	4.507950e-01
-3.400000e+00	-3.200000e+00	3.616503e+00	4.876492e-01	4.876492e-01
-3.200000e+00	-3.000000e+00	5.786570e+00	6.168505e-01	6.168505e-01
-3.000000e+00	-2.800000e+00	6.246815e+00	6.409099e-01	6.409099e-01
-2.800000e+00	-2.600000e+00	5.983715e+00	6.272639e-01	6.272639e-01
-2.600000e+00	-2.400000e+00	7.364580e+00	6.958874e-01	6.958874e-01
-2.400000e+00	-2.200000e+00	9.403075e+00	7.863247e-01	7.863247e-01
-2.200000e+00	-2.000000e+00	8.285120e+00	7.380969e-01	7.380969e-01
-2.000000e+00	-1.800000e+00	1.058631e+01	8.343184e-01	8.343184e-01
-1.800000e+00	-1.600000e+00	1.170440e+01	8.772816e-01	8.772816e-01
-1.600000e+00	-1.400000e+00	1.111251e+01	8.548086e-01	8.548086e-01
-1.400000e+00	-1.200000e+00	1.347971e+01	9.414639e-01	9.414639e-01
-1.200000e+00	-1.000000e+00	1.078389e+01	8.420803e-01	8.420803e-01
-1.000000e+00	-8.000000e-01	1.334823e+01	9.368623e-01	9.368623e-01
-8.000000e-01	-6.000000e-01	1.262512e+01	9.111401e-01	9.111401e-01
-6.000000e-01	-4.000000e-01	1.426889e+01	9.686349e-01	9.686349e-01
-4.000000e-01	-2.000000e-01	1.413723e+01	9.641511e-01	9.641511e-01
-2.000000e-01	0.000000e+00	1.453181e+01	9.775151e-01	9.775151e-01
0.000000e+00	2.000000e-01	1.249343e+01	9.063683e-01	9.063683e-01
2.000000e-01	4.000000e-01	1.229616e+01	8.991849e-01	8.991849e-01
4.000000e-01	6.000000e-01	1.315111e+01	9.299234e-01	9.299234e-01
6.000000e-01	8.000000e-01	1.328237e+01	9.345445e-01	9.345445e-01
8.000000e-01	1.000000e+00	1.413720e+01	9.641488e-01	9.641488e-01
1.000000e+00	1.200000e+00	1.387423e+01	9.551411e-01	9.551411e-01
1.200000e+00	1.400000e+00	1.433481e+01	9.708756e-01	9.708756e-01
1.400000e+00	1.600000e+00	1.203324e+01	8.895229e-01	8.895229e-01
1.600000e+00	1.800000e+00	1.249346e+01	9.063706e-01	9.063706e-01
1.800000e+00	2.000000e+00	1.025780e+01	8.212815e-01	8.212815e-01
2.000000e+00	2.200000e+00	1.058634e+01	8.343208e-01	8.343208e-01
2.200000e+00	2.400000e+00	8.811240e+00	7.611751e-01	7.611751e-01
2.400000e+00	2.600000e+00	9.074210e+00	7.724482e-01	7.724482e-01
2.600000e+00	2.800000e+00	5.983670e+00	6.272589e-01	6.272589e-01
2.800000e+00	3.000000e+00	6.509755e+00	6.542551e-01	6.542551e-01
3.000000e+00	3.200000e+00	6.707095e+00	6.641013e-01	6.641013e-01
3.200000e+00	3.400000e+00	4.142736e+00	5.219356e-01	5.219356e-01
3.400000e+00	3.600000e+00	3.616551e+00	4.876556e-01	4.876556e-01
3.600000e+00	3.800000e+00	3.156226e+00	4.555619e-01	4.555619e-01
3.800000e+00	4.000000e+00	2.104129e+00	3.719610e-01	3.719610e-01
4.000000e+00	4.200000e+00	1.775298e+00	3.416563e-01	3.416563e-01
4.200000e+00	4.400000e+00	9.863495e-01	2.546744e-01	2.546744e-01
4.400000e+00	4.600000e+00	1.315117e+00	2.940690e-01	2.940690e-01
4.600000e+00	4.800000e+00	7.233135e-01	2.180872e-01	2.180872e-01
4.800000e+00	5.000000e+00	1.315100e-01	9.299167e-02	9.299167e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CUDA/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-c/choij/cms-mg4gpu-integration/genValidation/DY01234j_CUDA/merged.yoda.gz/MC_ZJETS:ENERGY=13600/jet_eta_2
ScaledBy=1.00004549403784461e-06
Title=CUDA
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	5.278490e-01	1.866228e-01	1.866228e-01
-4.800000e+00	-4.600000e+00	6.598120e-01	2.086508e-01	2.086508e-01
-4.600000e+00	-4.400000e+00	9.897240e-01	2.555456e-01	2.555456e-01
-4.400000e+00	-4.200000e+00	1.055698e+00	2.639245e-01	2.639245e-01
-4.200000e+00	-4.000000e+00	2.441314e+00	4.013495e-01	4.013495e-01
-4.000000e+00	-3.800000e+00	2.177391e+00	3.790351e-01	3.790351e-01
-3.800000e+00	-3.600000e+00	3.101117e+00	4.523444e-01	4.523444e-01
